,Insertion,Simple Query 1,Simple Query 2,Complex Query 1 (Before Index),Complex Query 1 (After Index),Complex Query 2 (Before Index),Complex Query 2 (After Index)
MongoDB,65.20647621154785,7.796287536621094e-05,0.00012874603271484375,0.4274933338165283,0.3872711658477783,16389.2875289917,233.66758346557617
MySQL,416.29768657684326,0.8896281719207764,0.10673022270202637,0.03429770469665527,0.0005581378936767578,6.249463796615601,6.008695602416992
