,Complex Query 1 ,Complex Query 2 (Original Version),Complex Query 2 (Optimized Version)
Before Index,0.03429770469665527,38.87986946105957,6.249463796615601
After Index,0.0005581378936767578,31.633495330810547,6.008695602416992
